index,prompt,target
0,40130604 + 24387343 = ,64517947
1,32327255 + 99386957 = ,131714212
2,7478685 + 87381599 = ,94860284
3,11091666 + 45653636 = ,56745302
4,83490497 + 52914225 = ,136404722
5,32721239 + 98934480 = ,131655719
6,42081321 + 70895344 = ,112976665
7,11510978 + 55090095 = ,66601073
8,60737809 + 66976788 = ,127714597
9,28015270 + 77594246 = ,105609516
10,18117270 + 2082895 = ,20200165
11,1349706 + 60441762 = ,61791468
12,26799784 + 88709798 = ,115509582
13,84069366 + 70737698 = ,154807064
14,23765365 + 34909344 = ,58674709
15,37210538 + 28665215 = ,65875753
16,572716 + 3605091 = ,4177807
17,98563881 + 55229287 = ,153793168
18,22810523 + 79083259 = ,101893782
19,2885936 + 59561343 = ,62447279
20,11814538 + 24556868 = ,36371406
21,12181093 + 11523678 = ,23704771
22,95629926 + 30639739 = ,126269665
23,74030238 + 11497922 = ,85528160
24,72142301 + 75537075 = ,147679376
25,1710324 + 24554057 = ,26264381
26,62893527 + 37550064 = ,100443591
27,32076177 + 63157928 = ,95234105
28,90849523 + 8817173 = ,99666696
29,24278622 + 10336154 = ,34614776
30,75795599 + 9942801 = ,85738400
31,92494090 + 25708177 = ,118202267
32,72300675 + 77646823 = ,149947498
33,35159625 + 27673373 = ,62832998
34,96820419 + 85758416 = ,182578835
35,58732164 + 51470781 = ,110202945
36,83256420 + 31438982 = ,114695402
37,96923680 + 61949559 = ,158873239
38,80218486 + 81053429 = ,161271915
39,40876663 + 75494451 = ,116371114
40,32114271 + 93670712 = ,125784983
41,81287965 + 84572828 = ,165860793
42,2344927 + 50648482 = ,52993409
43,82256058 + 8312703 = ,90568761
44,4525950 + 61558737 = ,66084687
45,89134556 + 19785839 = ,108920395
46,36417783 + 62653420 = ,99071203
47,92957580 + 4175136 = ,97132716
48,12439252 + 51376203 = ,63815455
49,36506845 + 94110760 = ,130617605
50,30356480 + 39248084 = ,69604564
51,45999213 + 53525084 = ,99524297
52,45675069 + 36992946 = ,82668015
53,75424324 + 77734382 = ,153158706
54,73604044 + 49987257 = ,123591301
55,21930871 + 4394992 = ,26325863
56,50934916 + 82410089 = ,133345005
57,71731748 + 52818256 = ,124550004
58,57813458 + 53067941 = ,110881399
59,20783838 + 62996853 = ,83780691
60,18867694 + 31283120 = ,50150814
61,92255872 + 62445105 = ,154700977
62,54021305 + 14930185 = ,68951490
63,66869298 + 66364592 = ,133233890
64,67166193 + 57799180 = ,124965373
65,60387014 + 17874556 = ,78261570
66,79579635 + 22131811 = ,101711446
67,1732966 + 28595236 = ,30328202
68,56940146 + 12115091 = ,69055237
69,98594214 + 43839916 = ,142434130
70,89145379 + 4739854 = ,93885233
71,63428637 + 43499443 = ,106928080
72,65781820 + 11547640 = ,77329460
73,65477969 + 88420507 = ,153898476
74,73251971 + 25216033 = ,98468004
75,6815477 + 26825139 = ,33640616
76,53708187 + 27757796 = ,81465983
77,35201080 + 99185319 = ,134386399
78,97930986 + 15572298 = ,113503284
79,29706781 + 58026225 = ,87733006
80,55215037 + 99395130 = ,154610167
81,46143256 + 65973520 = ,112116776
82,91901796 + 6092770 = ,97994566
83,59140109 + 17362683 = ,76502792
84,71176450 + 40273730 = ,111450180
85,65054867 + 70471418 = ,135526285
86,58398156 + 73076382 = ,131474538
87,37455399 + 40467925 = ,77923324
88,55809613 + 63409073 = ,119218686
89,37782810 + 9679219 = ,47462029
90,37209228 + 89656561 = ,126865789
91,65323968 + 4270337 = ,69594305
92,61591402 + 3352062 = ,64943464
93,55778588 + 89647802 = ,145426390
94,73632476 + 15463489 = ,89095965
95,70894797 + 95328815 = ,166223612
96,82197073 + 16413092 = ,98610165
97,60062919 + 75851061 = ,135913980
98,54961862 + 46682761 = ,101644623
99,22960914 + 68486301 = ,91447215
100,96963516 + 65407442 = ,162370958
101,98949762 + 11745681 = ,110695443
102,56543267 + 44846992 = ,101390259
103,58478103 + 41980259 = ,100458362
104,19077997 + 62790420 = ,81868417
105,55980113 + 4410284 = ,60390397
106,31787046 + 52812842 = ,84599888
107,96558026 + 94376488 = ,190934514
108,12961647 + 82128667 = ,95090314
109,26818180 + 95126963 = ,121945143
110,35383702 + 50404312 = ,85788014
111,11600111 + 49166223 = ,60766334
112,84699530 + 45948051 = ,130647581
113,17206093 + 67475431 = ,84681524
114,85895058 + 31628743 = ,117523801
115,49528892 + 8904728 = ,58433620
116,31994016 + 4590956 = ,36584972
117,74414964 + 9305192 = ,83720156
118,69645694 + 85557615 = ,155203309
119,44361700 + 88854544 = ,133216244
120,61682612 + 55335130 = ,117017742
121,29306856 + 31384366 = ,60691222
122,99256926 + 96585556 = ,195842482
123,82726543 + 83409491 = ,166136034
124,50140279 + 88356194 = ,138496473
125,37498267 + 25696557 = ,63194824
126,94886882 + 29373777 = ,124260659
127,28577495 + 32308635 = ,60886130
128,6286925 + 72745392 = ,79032317
129,76308857 + 35573991 = ,111882848
130,5927649 + 55427953 = ,61355602
131,66073570 + 84723484 = ,150797054
132,36990196 + 16956481 = ,53946677
133,27281476 + 78211528 = ,105493004
134,52893436 + 86901106 = ,139794542
135,37657505 + 16096739 = ,53754244
136,74863715 + 72726085 = ,147589800
137,38746049 + 56936035 = ,95682084
138,11593799 + 79718913 = ,91312712
139,27562183 + 21769881 = ,49332064
140,25076836 + 26233421 = ,51310257
141,71212652 + 41192626 = ,112405278
142,57673115 + 14075435 = ,71748550
143,7540499 + 85023074 = ,92563573
144,48579885 + 37429348 = ,86009233
145,95244624 + 16707696 = ,111952320
146,42331370 + 44356473 = ,86687843
147,62053291 + 5814792 = ,67868083
148,14948928 + 76218740 = ,91167668
149,98103188 + 92212320 = ,190315508
150,44516834 + 42234731 = ,86751565
151,42170757 + 17183061 = ,59353818
152,59417602 + 96426493 = ,155844095
153,47578109 + 42307015 = ,89885124
154,28701804 + 17924339 = ,46626143
155,68993398 + 92418911 = ,161412309
156,86970433 + 5704144 = ,92674577
157,7133554 + 28438738 = ,35572292
158,27110798 + 36591471 = ,63702269
159,41916613 + 15711850 = ,57628463
160,56120450 + 38646299 = ,94766749
161,70183656 + 98455927 = ,168639583
162,39566483 + 64394055 = ,103960538
163,66439148 + 41589533 = ,108028681
164,48777953 + 22296880 = ,71074833
165,68927807 + 53878232 = ,122806039
166,73806725 + 18797818 = ,92604543
167,92262973 + 32431377 = ,124694350
168,91162669 + 37721056 = ,128883725
169,52274750 + 3460118 = ,55734868
170,44365025 + 46460553 = ,90825578
171,23919365 + 29476172 = ,53395537
172,34469437 + 77752490 = ,112221927
173,50086647 + 16863632 = ,66950279
174,64090385 + 40631492 = ,104721877
175,3917116 + 47060633 = ,50977749
176,42505358 + 89726781 = ,132232139
177,98594997 + 60223005 = ,158818002
178,43223238 + 96612380 = ,139835618
179,30392010 + 91355620 = ,121747630
180,62403044 + 54655316 = ,117058360
181,49786807 + 19419634 = ,69206441
182,96145586 + 86249046 = ,182394632
183,94967989 + 24325051 = ,119293040
184,69474107 + 19506318 = ,88980425
185,85125107 + 36779440 = ,121904547
186,58937976 + 27034680 = ,85972656
187,59003329 + 82478952 = ,141482281
188,4751239 + 89979845 = ,94731084
189,47491215 + 23044727 = ,70535942
190,66751465 + 88942900 = ,155694365
191,12302286 + 54253085 = ,66555371
192,13916211 + 91741657 = ,105657868
193,73376181 + 62802074 = ,136178255
194,43410900 + 47417733 = ,90828633
195,38435194 + 19736516 = ,58171710
196,62327096 + 93071520 = ,155398616
197,5518577 + 58553928 = ,64072505
198,15876836 + 18707871 = ,34584707
199,28240222 + 11627849 = ,39868071
