index,prompt,target
0,54 + 0 = ,54
1,83 + 36 = ,119
2,81 + 20 = ,101
3,3 + 42 = ,45
4,65 + 20 = ,85
5,36 + 68 = ,104
6,80 + 47 = ,127
7,10 + 94 = ,104
8,91 + 43 = ,134
9,63 + 31 = ,94
10,20 + 70 = ,90
11,9 + 60 = ,69
12,91 + 35 = ,126
13,83 + 76 = ,159
14,18 + 74 = ,92
15,98 + 97 = ,195
16,43 + 3 = ,46
17,12 + 58 = ,70
18,1 + 0 = ,1
19,39 + 24 = ,63
20,58 + 36 = ,94
21,99 + 69 = ,168
22,6 + 3 = ,9
23,98 + 40 = ,138
24,60 + 33 = ,93
25,28 + 68 = ,96
26,26 + 96 = ,122
27,51 + 73 = ,124
28,53 + 69 = ,122
29,33 + 7 = ,40
30,94 + 72 = ,166
31,84 + 7 = ,91
32,67 + 85 = ,152
33,91 + 67 = ,158
34,84 + 71 = ,155
35,83 + 95 = ,178
36,0 + 5 = ,5
37,91 + 30 = ,121
38,73 + 83 = ,156
39,7 + 21 = ,28
40,92 + 8 = ,100
41,43 + 46 = ,89
42,0 + 51 = ,51
43,38 + 89 = ,127
44,74 + 98 = ,172
45,87 + 96 = ,183
46,83 + 26 = ,109
47,78 + 32 = ,110
48,70 + 97 = ,167
49,44 + 59 = ,103
50,57 + 50 = ,107
51,45 + 4 = ,49
52,57 + 93 = ,150
53,91 + 17 = ,108
54,35 + 66 = ,101
55,20 + 45 = ,65
56,57 + 79 = ,136
57,36 + 62 = ,98
58,4 + 77 = ,81
59,30 + 87 = ,117
60,98 + 35 = ,133
61,73 + 90 = ,163
62,55 + 26 = ,81
63,22 + 76 = ,98
64,79 + 98 = ,177
65,90 + 51 = ,141
66,46 + 80 = ,126
67,61 + 60 = ,121
68,47 + 0 = ,47
69,10 + 75 = ,85
70,13 + 71 = ,84
71,94 + 6 = ,100
72,45 + 30 = ,75
73,15 + 41 = ,56
74,38 + 53 = ,91
75,43 + 82 = ,125
76,7 + 92 = ,99
77,65 + 41 = ,106
78,66 + 92 = ,158
79,78 + 91 = ,169
80,31 + 93 = ,124
81,50 + 46 = ,96
82,93 + 33 = ,126
83,12 + 96 = ,108
84,80 + 66 = ,146
85,72 + 10 = ,82
86,90 + 27 = ,117
87,56 + 65 = ,121
88,64 + 69 = ,133
89,88 + 34 = ,122
90,79 + 3 = ,82
91,60 + 37 = ,97
92,43 + 83 = ,126
93,88 + 70 = ,158
94,20 + 6 = ,26
95,28 + 6 = ,34
96,92 + 69 = ,161
97,73 + 54 = ,127
98,77 + 21 = ,98
99,31 + 81 = ,112
