index,prompt,target
0,5 + 0 = ,5
1,3 + 3 = ,6
2,7 + 9 = ,16
3,3 + 5 = ,8
4,2 + 4 = ,6
5,7 + 6 = ,13
6,8 + 8 = ,16
7,1 + 6 = ,7
8,7 + 7 = ,14
9,8 + 1 = ,9
10,5 + 9 = ,14
11,8 + 9 = ,17
12,4 + 3 = ,7
13,0 + 3 = ,3
14,2 + 3 = ,5
15,3 + 7 = ,10
16,0 + 1 = ,1
17,9 + 9 = ,18
18,0 + 4 = ,4
19,7 + 3 = ,10
20,2 + 7 = ,9
21,2 + 0 = ,2
22,5 + 5 = ,10
23,6 + 8 = ,14
24,4 + 1 = ,5
25,4 + 9 = ,13
26,1 + 7 = ,8
27,3 + 6 = ,9
28,7 + 2 = ,9
29,4 + 4 = ,8
30,6 + 4 = ,10
31,8 + 4 = ,12
32,3 + 0 = ,3
33,1 + 2 = ,3
34,4 + 2 = ,6
35,7 + 5 = ,12
36,9 + 0 = ,9
37,2 + 9 = ,11
38,3 + 2 = ,5
39,3 + 4 = ,7
40,9 + 1 = ,10
41,4 + 6 = ,10
42,8 + 2 = ,10
43,0 + 6 = ,6
44,0 + 8 = ,8
45,8 + 3 = ,11
46,6 + 9 = ,15
47,8 + 0 = ,8
48,8 + 5 = ,13
49,9 + 6 = ,15
50,5 + 3 = ,8
51,1 + 8 = ,9
52,5 + 7 = ,12
53,9 + 2 = ,11
54,8 + 6 = ,14
55,5 + 8 = ,13
56,9 + 7 = ,16
57,4 + 5 = ,9
58,2 + 8 = ,10
59,1 + 5 = ,6
60,0 + 2 = ,2
61,1 + 1 = ,2
62,0 + 9 = ,9
63,2 + 1 = ,3
64,5 + 2 = ,7
65,3 + 1 = ,4
66,9 + 5 = ,14
67,6 + 0 = ,6
68,4 + 8 = ,12
69,3 + 8 = ,11
70,8 + 7 = ,15
71,7 + 1 = ,8
72,7 + 0 = ,7
73,7 + 8 = ,15
74,4 + 7 = ,11
